timestep,id,x,y
1,1,44,44
1,2,44,45
1,3,44,46
1,4,44,47
1,5,44,48
1,6,44,49
1,7,44,50
1,8,44,51
1,9,44,52
1,10,44,53
1,11,44,54
1,12,44,55
1,13,44,56
1,14,44,57
1,15,45,44
1,16,45,45
1,17,45,46
1,18,45,47
1,19,45,48
1,20,45,49
1,21,45,50
1,22,45,51
1,23,45,52
1,24,45,53
1,25,45,54
1,26,45,55
1,27,45,56
1,28,45,57
1,29,46,44
1,30,46,45
1,31,46,46
1,32,46,47
1,33,46,48
1,34,46,49
1,35,46,50
1,36,46,51
1,37,46,52
1,38,46,53
1,39,46,54
1,40,46,55
1,41,46,56
1,42,46,57
1,43,47,44
1,44,47,45
1,45,47,46
1,46,47,47
1,47,47,48
1,48,47,49
1,49,47,50
1,50,47,51
1,51,47,52
1,52,47,53
1,53,47,54
1,54,47,55
1,55,47,56
1,56,47,57
1,57,48,44
1,58,48,45
1,59,48,46
1,60,48,47
1,61,48,48
1,62,48,49
1,63,48,50
1,64,48,51
1,65,48,52
1,66,48,53
1,67,48,54
1,68,48,55
1,69,48,56
1,70,48,57
1,71,49,44
1,72,49,45
1,73,49,46
1,74,49,47
1,75,49,48
1,76,49,49
1,77,49,50
1,78,49,51
1,79,49,52
1,80,49,53
1,81,49,54
1,82,49,55
1,83,49,56
1,84,49,57
1,85,50,44
1,86,50,45
1,87,50,46
1,88,50,47
1,89,50,48
1,90,50,49
1,91,50,50
1,92,50,51
1,93,50,52
1,94,50,53
1,95,50,54
1,96,50,55
1,97,50,56
1,98,50,57
1,99,51,44
1,100,51,45
1,101,51,46
1,102,51,47
1,103,51,48
1,104,51,49
1,105,51,50
1,106,51,51
1,107,51,52
1,108,51,53
1,109,51,54
1,110,51,55
1,111,51,56
1,112,51,57
1,113,52,44
1,114,52,45
1,115,52,46
1,116,52,47
1,117,52,48
1,118,52,49
1,119,52,50
1,120,52,51
1,121,52,52
1,122,52,53
1,123,52,54
1,124,52,55
1,125,52,56
1,126,52,57
1,127,53,44
1,128,53,45
1,129,53,46
1,130,53,47
1,131,53,48
1,132,53,49
1,133,53,50
1,134,53,51
1,135,53,52
1,136,53,53
1,137,53,54
1,138,53,55
1,139,53,56
1,140,53,57
1,141,54,44
1,142,54,45
1,143,54,46
1,144,54,47
1,145,54,48
1,146,54,49
1,147,54,50
1,148,54,51
1,149,54,52
1,150,54,53
1,151,54,54
1,152,54,55
1,153,54,56
1,154,54,57
1,155,55,44
1,156,55,45
1,157,55,46
1,158,55,47
1,159,55,48
1,160,55,49
1,161,55,50
1,162,55,51
1,163,55,52
1,164,55,53
1,165,55,54
1,166,55,55
1,167,55,56
1,168,55,57
1,169,56,44
1,170,56,45
1,171,56,46
1,172,56,47
1,173,56,48
1,174,56,49
1,175,56,50
1,176,56,51
1,177,56,52
1,178,56,53
1,179,56,54
1,180,56,55
1,181,56,56
1,182,56,57
1,183,57,44
1,184,57,45
1,185,57,46
1,186,57,47
1,187,57,48
1,188,57,49
1,189,57,50
1,190,57,51
1,191,57,52
1,192,57,53
1,193,57,54
1,194,57,55
1,195,57,56
1,196,57,57
2,1,43,43
2,2,43,45
2,3,43,47
2,4,44,46
2,5,43,48
2,6,43,49
2,7,44,49
2,8,43,52
2,9,43,51
2,10,43,53
2,11,43,54
2,12,43,55
2,13,44,55
2,14,44,58
2,15,44,43
2,16,44,45
2,17,44,47
2,18,45,46
2,19,44,48
2,20,45,48
2,21,44,50
2,22,44,52
2,23,45,51
2,24,44,53
2,25,45,53
2,26,44,56
2,27,45,55
2,28,45,56
2,29,46,43
2,30,45,44
2,31,45,47
2,32,46,46
2,33,46,47
2,34,45,49
2,35,46,49
2,36,45,52
2,37,46,51
2,38,46,52
2,39,45,54
2,40,46,54
2,41,45,57
2,42,47,58
2,43,46,45
2,44,46,44
2,45,47,45
2,46,46,48
2,47,47,47
2,48,47,48
2,49,46,50
2,50,47,50
2,51,46,53
2,52,47,52
2,53,46,55
2,54,46,56
2,55,47,55
2,56,46,57
2,57,47,44
2,58,48,44
2,59,47,46
2,60,48,46
2,61,47,49
2,62,48,48
2,63,48,49
2,64,48,50
2,65,47,51
2,66,47,54
2,67,47,53
2,68,48,54
2,69,48,55
2,70,49,58
2,71,48,45
2,72,49,44
2,73,49,45
2,74,48,47
2,75,49,47
2,76,49,48
2,77,49,49
2,78,48,52
2,79,48,53
2,80,49,52
2,81,49,53
2,82,49,54
2,83,48,57
2,84,49,56
2,85,49,43
2,86,50,44
2,87,50,45
2,88,49,46
2,89,50,47
2,90,49,50
2,91,50,49
2,92,49,51
2,93,50,51
2,94,50,52
2,95,49,55
2,96,50,54
2,97,50,55
2,98,50,56
2,99,50,43
2,100,51,44
2,101,51,45
2,102,50,48
2,103,51,47
2,104,51,48
2,105,50,50
2,106,51,50
2,107,50,53
2,108,51,52
2,109,51,53
2,110,51,54
2,111,50,57
2,112,52,58
2,113,51,43
2,114,52,44
2,115,52,45
2,116,51,46
2,117,52,47
2,118,52,48
2,119,52,49
2,120,52,50
2,121,51,51
2,122,52,52
2,123,51,55
2,124,51,56
2,125,52,55
2,126,51,57
2,127,54,43
2,128,52,46
2,129,53,45
2,130,53,46
2,131,53,47
2,132,53,48
2,133,52,51
2,134,53,50
2,135,52,53
2,136,52,54
2,137,53,53
2,138,52,56
2,139,53,55
2,140,53,58
2,141,53,44
2,142,54,44
2,143,54,45
2,144,54,46
2,145,53,49
2,146,54,48
2,147,54,49
2,148,54,50
2,149,53,51
2,150,53,52
2,151,54,53
2,152,53,54
2,153,53,56
2,154,54,56
2,155,56,43
2,156,55,44
2,157,55,45
2,158,54,47
2,159,55,47
2,160,55,48
2,161,55,49
2,162,55,50
2,163,54,51
2,164,55,52
2,165,55,53
2,166,54,55
2,167,55,55
2,168,56,58
2,169,55,43
2,170,56,44
2,171,55,46
2,172,56,46
2,173,56,47
2,174,56,48
2,175,55,51
2,176,56,50
2,177,56,51
2,178,56,52
2,179,56,53
2,180,56,54
2,181,55,56
2,182,55,57
2,183,56,45
2,184,58,44
2,185,58,45
2,186,58,47
2,187,56,49
2,188,58,50
2,189,57,49
2,190,58,51
2,191,58,52
2,192,58,54
2,193,58,55
2,194,57,54
2,195,56,55
2,196,56,56
3,1,43,44
3,2,44,44
3,3,42,46
3,4,43,47
3,5,42,47
3,6,43,48
3,7,43,50
3,8,42,53
3,9,42,52
3,10,43,52
3,11,44,54
3,12,42,55
3,13,43,54
3,14,43,58
3,15,45,42
3,16,43,46
3,17,44,46
3,18,45,45
3,19,44,47
3,20,44,49
3,21,44,51
3,22,43,53
3,23,44,52
3,24,44,53
3,25,45,53
3,26,44,55
3,27,44,56
3,28,45,55
3,29,46,42
3,30,45,43
3,31,45,48
3,32,45,46
3,33,46,46
3,34,44,50
3,35,45,49
3,36,45,51
3,37,45,52
3,38,46,51
3,39,45,54
3,40,46,54
3,41,46,58
3,42,46,59
3,43,45,44
3,44,47,43
3,45,46,45
3,46,46,47
3,47,46,48
3,48,46,49
3,49,45,50
3,50,48,51
3,51,46,52
3,52,46,53
3,53,47,56
3,54,47,57
3,55,48,56
3,56,45,57
3,57,46,44
3,58,48,43
3,59,47,45
3,60,47,46
3,61,46,50
3,62,47,49
3,63,48,48
3,64,48,49
3,65,47,52
3,66,47,55
3,67,47,54
3,68,47,53
3,69,48,54
3,70,48,59
3,71,47,44
3,72,48,44
3,73,50,46
3,74,48,46
3,75,48,47
3,76,49,47
3,77,49,48
3,78,47,51
3,79,48,52
3,80,48,53
3,81,49,52
3,82,49,53
3,83,49,58
3,84,49,57
3,85,49,42
3,86,49,45
3,87,50,44
3,88,48,45
3,89,49,46
3,90,48,50
3,91,51,49
3,92,49,50
3,93,49,51
3,94,50,51
3,95,49,54
3,96,49,55
3,97,49,56
3,98,50,55
3,99,50,42
3,100,50,45
3,101,51,44
3,102,50,49
3,103,50,48
3,104,51,47
3,105,49,49
3,106,50,50
3,107,50,54
3,108,50,53
3,109,50,52
3,110,51,53
3,111,51,58
3,112,52,57
3,113,50,43
3,114,53,43
3,115,51,45
3,116,50,47
3,117,51,48
3,118,52,47
3,119,52,48
3,120,51,50
3,121,51,52
3,122,51,51
3,123,51,54
3,124,50,56
3,125,51,56
3,126,50,58
3,127,54,42
3,128,51,46
3,129,52,45
3,130,52,46
3,131,53,46
3,132,52,49
3,133,52,50
3,134,52,51
3,135,52,52
3,136,52,53
3,137,54,54
3,138,52,55
3,139,52,54
3,140,53,59
3,141,53,45
3,142,53,44
3,143,54,44
3,144,53,47
3,145,53,50
3,146,53,49
3,147,54,48
3,148,54,49
3,149,54,50
3,150,54,52
3,151,53,52
3,152,53,55
3,153,52,56
3,154,54,57
3,155,56,42
3,156,54,45
3,157,55,44
3,158,53,48
3,159,54,47
3,160,55,47
3,161,55,48
3,162,55,49
3,163,55,50
3,164,54,51
3,165,54,53
3,166,53,56
3,167,54,56
3,168,55,58
3,169,56,43
3,170,57,44
3,171,54,46
3,172,57,46
3,173,55,46
3,174,57,47
3,175,55,52
3,176,55,51
3,177,56,50
3,178,57,52
3,179,56,52
3,180,57,53
3,181,55,55
3,182,56,58
3,183,55,45
3,184,59,44
3,185,58,46
3,186,57,48
3,187,56,48
3,188,57,51
3,189,58,50
3,190,59,50
3,191,59,51
3,192,57,55
3,193,59,56
3,194,56,53
3,195,56,54
3,196,57,56
4,1,43,43
4,2,44,43
4,3,43,45
4,4,44,48
4,5,43,47
4,6,42,49
4,7,43,51
4,8,41,53
4,9,42,51
4,10,42,53
4,11,43,55
4,12,42,54
4,13,42,55
4,14,43,57
4,15,44,42
4,16,42,46
4,17,43,46
4,18,44,44
4,19,45,47
4,20,43,48
4,21,43,52
4,22,42,52
4,23,44,51
4,24,44,54
4,25,44,52
4,26,43,54
4,27,43,56
4,28,46,56
4,29,45,41
4,30,46,42
4,31,44,49
4,32,44,47
4,33,45,46
4,34,43,49
4,35,45,48
4,36,44,50
4,37,45,51
4,38,47,50
4,39,44,53
4,40,46,55
4,41,45,59
4,42,46,58
4,43,44,45
4,44,46,43
4,45,45,45
4,46,47,47
4,47,46,47
4,48,46,48
4,49,46,49
4,50,48,51
4,51,45,53
4,52,46,52
4,53,46,57
4,54,47,58
4,55,47,57
4,56,45,56
4,57,45,44
4,58,47,42
4,59,46,44
4,60,46,46
4,61,45,50
4,62,47,48
4,63,47,49
4,64,48,48
4,65,46,51
4,66,47,56
4,67,46,53
4,68,47,54
4,69,48,55
4,70,47,60
4,71,46,45
4,72,47,43
4,73,50,46
4,74,47,46
4,75,48,46
4,76,48,47
4,77,48,49
4,78,47,52
4,79,47,53
4,80,48,52
4,81,48,53
4,82,48,54
4,83,48,59
4,84,48,56
4,85,49,43
4,86,49,44
4,87,49,45
4,88,47,44
4,89,48,45
4,90,47,51
4,91,51,49
4,92,48,50
4,93,49,52
4,94,49,50
4,95,49,53
4,96,49,54
4,97,50,57
4,98,49,56
4,99,51,41
4,100,50,44
4,101,51,43
4,102,49,48
4,103,49,47
4,104,50,48
4,105,50,49
4,106,49,51
4,107,50,55
4,108,50,54
4,109,50,51
4,110,50,52
4,111,51,59
4,112,52,58
4,113,51,42
4,114,52,43
